local_government,tax,fy_total,fy
JOPPA,INC,37220.51,2019
JOPPA,INC,35409.01,2020
JOPPA,INC,46764.41,2021
JOPPA,INC,54206.77,2022
JOPPA,INC,54546.21,2023
JOPPA,INC,58313.43,2024
JOPPA,INC,62201.49,2025
JOY,INC,35595.95,2012
JOY,INC,39117.93,2013
JOY,INC,39753.46,2014
JOY,INC,42767.35,2015
JOY,INC,42268.02,2016
JOY,INC,39489.66,2017
JOY,INC,37695.98,2018
JOY,INC,43113.92,2019
JOY,INC,41015.63,2020
JOY,INC,54169.05,2021
JOY,INC,59366.69,2022
JOY,INC,57974.72,2023
JOY,INC,61978.7,2024
JOY,INC,66111.79,2025
JUNCTION,INC,11011.76,2012
JUNCTION,INC,12101.27,2013
JUNCTION,INC,12297.86,2014
JUNCTION,INC,13230.41,2015
JUNCTION,INC,13075.82,2016
JUNCTION,INC,12216.55,2017
JUNCTION,INC,11661.33,2018
JUNCTION,INC,13337.55,2019
JUNCTION,INC,12688.68,2020
JUNCTION,INC,16757.85,2021
JUNCTION,INC,12314.38,2022
JUNCTION,INC,8727.96,2023
JUNCTION,INC,9330.77,2024
JUNCTION,INC,9952.98,2025
JUNCTION CITY,INC,41144.52,2012
JUNCTION CITY,INC,45215.52,2013
JUNCTION CITY,INC,45950.09,2014
JUNCTION CITY,INC,49433.87,2015
JUNCTION CITY,INC,48856.5,2016
JUNCTION CITY,INC,45645.13,2017
JUNCTION CITY,INC,43572.13,2018
JUNCTION CITY,INC,49834.23,2019
JUNCTION CITY,INC,47408.73,2020
JUNCTION CITY,INC,62612.37,2021
JUNCTION CITY,INC,78558.13,2022
JUNCTION CITY,INC,82131.85,2023
JUNCTION CITY,INC,87804.22,2024
JUNCTION CITY,INC,93657.86,2025
JUSTICE,INC,1103401.01,2012
JUSTICE,INC,1212561.56,2013
JUSTICE,INC,1232253.59,2014
JUSTICE,INC,1325694.15,2015
JUSTICE,INC,1310211.97,2016
JUSTICE,INC,1224085.09,2017
JUSTICE,INC,1168488.71,2018
JUSTICE,INC,1336429.17,2019
JUSTICE,INC,1271383.2,2020
JUSTICE,INC,1679106.63,2021
JUSTICE,INC,1949714.55,2022
JUSTICE,INC,1963668.22,2023
JUSTICE,INC,2099287.75,2024
JUSTICE,INC,2239263.39,2025
KAMPSVILLE,INC,27999.23,2012
KAMPSVILLE,INC,30768.8,2013
KAMPSVILLE,INC,31268.28,2014
KAMPSVILLE,INC,33639.79,2015
KAMPSVILLE,INC,33247.02,2016
KAMPSVILLE,INC,31061.32,2017
KAMPSVILLE,INC,29650.82,2018
KAMPSVILLE,INC,33912.37,2019
KAMPSVILLE,INC,32261.84,2020
KAMPSVILLE,INC,42607.99,2021
KAMPSVILLE,INC,48477.99,2022
KAMPSVILLE,INC,48312.25,2023
KAMPSVILLE,INC,51648.91,2024
KAMPSVILLE,INC,55092.84,2025
KANE,INC,37388.9,2012
KANE,INC,41087.52,2013
KANE,INC,41754.65,2014
KANE,INC,44921.61,2015
KANE,INC,44396.28,2016
KANE,INC,41478.33,2017
KANE,INC,39594.74,2018
KANE,INC,45285.34,2019
KANE,INC,43081.22,2020
KANE,INC,56897.08,2021
KANE,INC,52652.43,2022
KANE,INC,46129.76,2023
KANE,INC,49315.69,2024
KANE,INC,52605.22,2025
KANE COUNTY GOVERNMENT,INC,5139870.92,2012
KANE COUNTY GOVERNMENT,INC,5648363.24,2013
KANE COUNTY GOVERNMENT,INC,5740092.76,2014
KANE COUNTY GOVERNMENT,INC,6175358.94,2015
KANE COUNTY GOVERNMENT,INC,6103241.03,2016
KANE COUNTY GOVERNMENT,INC,5702044.04,2017
KANE COUNTY GOVERNMENT,INC,5443062.65,2018
KANE COUNTY GOVERNMENT,INC,6225364.75,2019
KANE COUNTY GOVERNMENT,INC,5922366.38,2020
KANE COUNTY GOVERNMENT,INC,7821626.62,2021
KANE COUNTY GOVERNMENT,INC,9273163.98,2022
KANE COUNTY GOVERNMENT,INC,9437763.6,2023
KANE COUNTY GOVERNMENT,INC,10089576.81,2024
KANE COUNTY GOVERNMENT,INC,10762323.42,2025
KANEVILLE,INC,41315.4,2012
KANEVILLE,INC,45403.3,2013
KANEVILLE,INC,46140.89,2014
KANEVILLE,INC,49639.21,2015
KANEVILLE,INC,49059.48,2016
KANEVILLE,INC,45834.35,2017
KANEVILLE,INC,43752.67,2018
KANEVILLE,INC,50040.81,2019
KANEVILLE,INC,47605.03,2020
KANEVILLE,INC,62871.61,2021
KANEVILLE,INC,70977.21,2022
KANEVILLE,INC,70442.66,2023
KANEVILLE,INC,75307.74,2024
KANEVILLE,INC,80328.92,2025
KANGLEY,INC,21426.57,2012
KANGLEY,INC,23545.8,2013
KANGLEY,INC,23927.96,2014
KANGLEY,INC,25742.76,2015
KANGLEY,INC,25442,2016
KANGLEY,INC,23769.66,2017
KANGLEY,INC,22689.86,2018
KANGLEY,INC,25951.28,2019
KANGLEY,INC,24688.4,2020
KANGLEY,INC,32605.8,2021
KANGLEY,INC,36869.15,2022
KANGLEY,INC,36623.06,2023
KANGLEY,INC,39152.41,2024
KANGLEY,INC,41763.91,2025
KANKAKEE,INC,2350638.14,2012
KANKAKEE,INC,2583189.33,2013
KANKAKEE,INC,2625140.54,2014
KANKAKEE,INC,2824202.16,2015
KANKAKEE,INC,2791219.79,2016
KANKAKEE,INC,2607738.95,2017
KANKAKEE,INC,2489298.3,2018
KANKAKEE,INC,2847071.02,2019
KANKAKEE,INC,2708499.37,2020
KANKAKEE,INC,3577095.63,2021
KANKAKEE,INC,3867757.2,2022
KANKAKEE,INC,3748424.37,2023
KANKAKEE,INC,4007306.95,2024
KANKAKEE,INC,4274504.04,2025
KANKAKEE COUNTY GOVERNMENT,INC,2449744.92,2012
KANKAKEE COUNTY GOVERNMENT,INC,2692100.57,2013
KANKAKEE COUNTY GOVERNMENT,INC,2735820.28,2014
KANKAKEE COUNTY GOVERNMENT,INC,2943274.62,2015
KANKAKEE COUNTY GOVERNMENT,INC,2908902.31,2016
KANKAKEE COUNTY GOVERNMENT,INC,2717685.09,2017
KANKAKEE COUNTY GOVERNMENT,INC,2594250.74,2018
KANKAKEE COUNTY GOVERNMENT,INC,2967107.93,2019
KANKAKEE COUNTY GOVERNMENT,INC,2822693.7,2020
KANKAKEE COUNTY GOVERNMENT,INC,3727911.25,2021
KANKAKEE COUNTY GOVERNMENT,INC,4318033.91,2022
KANKAKEE COUNTY GOVERNMENT,INC,4343446.92,2023
KANKAKEE COUNTY GOVERNMENT,INC,4643424.33,2024
KANKAKEE COUNTY GOVERNMENT,INC,4953036.01,2025
KANSAS,INC,67181.04,2012
KANSAS,INC,73826.64,2013
KANSAS,INC,75025.24,2014
KANSAS,INC,80714.87,2015
KANSAS,INC,79772.3,2016
KANSAS,INC,74528.42,2017
KANSAS,INC,71143.24,2018
KANSAS,INC,81368.89,2019
KANSAS,INC,77408.67,2020
KANSAS,INC,102233.09,2021
KANSAS,INC,108757.94,2022
KANSAS,INC,104417.98,2023
KANSAS,INC,111629.56,2024
KANSAS,INC,119071.42,2025
KAPPA,INC,19377.33,2012
KAPPA,INC,21294.62,2013
KAPPA,INC,21640.57,2014
KAPPA,INC,23281.28,2015
KAPPA,INC,23008.91,2016
KAPPA,INC,21496.72,2017
KAPPA,INC,20520.57,2018
KAPPA,INC,23469.75,2019
KAPPA,INC,22327.73,2020
KAPPA,INC,29488.05,2021
KAPPA,INC,35031.16,2022
KAPPA,INC,35688.57,2023
KAPPA,INC,38153.37,2024
KAPPA,INC,40698.09,2025
KARNAK,INC,42595.77,2012
KARNAK,INC,46810.33,2013
KARNAK,INC,47570.82,2014
KARNAK,INC,51177.96,2015
KARNAK,INC,50580.48,2016
KARNAK,INC,47254.91,2017
KARNAK,INC,45108.96,2018
KARNAK,INC,51591.74,2019
KARNAK,INC,49080.46,2020
KARNAK,INC,64820.21,2021
KARNAK,INC,69488.71,2022
KARNAK,INC,67014.17,2023
KARNAK,INC,71642.46,2024
KARNAK,INC,76420.02,2025
KASKASKIA,INC,1194.93,2012
KASKASKIA,INC,1313.17,2013
KASKASKIA,INC,1334.5,2014
KASKASKIA,INC,1436.07,2015
KASKASKIA,INC,1419.52,2016
KASKASKIA,INC,1325.78,2017
KASKASKIA,INC,1265.73,2018
KASKASKIA,INC,1447.3,2019
KASKASKIA,INC,1376.63,2020
KASKASKIA,INC,1818.12,2021
KASKASKIA,INC,2864.66,2022
KASKASKIA,INC,3272.72,2023
KASKASKIA,INC,3498.76,2024
KASKASKIA,INC,3732.67,2025
KEENES,INC,7085.24,2012
KEENES,INC,7786.29,2013
KEENES,INC,7912.78,2014
KEENES,INC,8512.6,2015
KEENES,INC,8413.01,2016
KEENES,INC,7860.09,2017
KEENES,INC,7502.89,2018
KEENES,INC,8581.27,2019
KEENES,INC,8163.6,2020
KEENES,INC,10781.62,2021
KEENES,INC,9353.01,2022
KEENES,INC,7791.47,2023
KEENES,INC,8329.57,2024
KEENES,INC,8885,2025
KEENSBURG,INC,17926.13,2012
KEENSBURG,INC,19699.8,2013
KEENSBURG,INC,20019.86,2014
KEENSBURG,INC,21537.69,2015
KEENSBURG,INC,21286.26,2016
KEENSBURG,INC,19886.95,2017
KEENSBURG,INC,18983.67,2018
KEENSBURG,INC,21711.74,2019
KEENSBURG,INC,20654.72,2020
KEENSBURG,INC,27278.53,2021
KEENSBURG,INC,28529.8,2022
KEENSBURG,INC,27116.37,2023
KEENSBURG,INC,28989.15,2024
KEENSBURG,INC,30922.75,2025
KEITHSBURG,INC,51986.52,2012
KEITHSBURG,INC,57129.47,2013
KEITHSBURG,INC,58057.12,2014
KEITHSBURG,INC,62458.94,2015
KEITHSBURG,INC,61729.74,2016
KEITHSBURG,INC,57671.94,2017
KEITHSBURG,INC,55052.43,2018
KEITHSBURG,INC,62964.68,2019
KEITHSBURG,INC,59899.85,2020
KEITHSBURG,INC,79109.28,2021
KEITHSBURG,INC,87389.4,2022
KEITHSBURG,INC,85716.07,2023
KEITHSBURG,INC,91635.99,2024
KEITHSBURG,INC,97745.68,2025
KELL,INC,18695,2012
KELL,INC,20543.97,2013
KELL,INC,20877.32,2014
KELL,INC,22460.39,2015
KELL,INC,22198.33,2016
KELL,INC,20739.37,2017
KELL,INC,19797.34,2018
KELL,INC,22642.42,2019
KELL,INC,21539.99,2020
KELL,INC,28447.71,2021
KELL,INC,28886.35,2022
KELL,INC,26960.6,2023
KELL,INC,28822.65,2024
KELL,INC,30745.12,2025
KEMPTON,INC,19719.06,2012
KEMPTON,INC,21669.37,2013
KEMPTON,INC,22020.98,2014
KEMPTON,INC,23691.12,2015
KEMPTON,INC,23414.88,2016
KEMPTON,INC,21875.61,2017
KEMPTON,INC,20881.87,2018
KEMPTON,INC,23882.93,2019
KEMPTON,INC,22720.32,2020
KEMPTON,INC,30006.57,2021
KEMPTON,INC,29806.68,2022
KEMPTON,INC,27429.86,2023
KEMPTON,INC,29324.29,2024
KEMPTON,INC,31278.74,2025
KENDALL COUNTY GOVERNMENT,INC,2140645.04,2012
KENDALL COUNTY GOVERNMENT,INC,2352421.08,2013
KENDALL COUNTY GOVERNMENT,INC,2390624.46,2014
KENDALL COUNTY GOVERNMENT,INC,2571903.93,2015
KENDALL COUNTY GOVERNMENT,INC,2541868.15,2016
KENDALL COUNTY GOVERNMENT,INC,2374778.32,2017
KENDALL COUNTY GOVERNMENT,INC,2266918.22,2018
KENDALL COUNTY GOVERNMENT,INC,2592730.49,2019
KENDALL COUNTY GOVERNMENT,INC,2466538.07,2020
KENDALL COUNTY GOVERNMENT,INC,3257539.05,2021
KENDALL COUNTY GOVERNMENT,INC,3897196.36,2022
KENDALL COUNTY GOVERNMENT,INC,3984065.21,2023
KENDALL COUNTY GOVERNMENT,INC,4259222.15,2024
KENDALL COUNTY GOVERNMENT,INC,4543215.8,2025
KENILWORTH,INC,214516.52,2012
KENILWORTH,INC,235739.22,2013
KENILWORTH,INC,239567.87,2014
KENILWORTH,INC,257734.03,2015
KENILWORTH,INC,254723.96,2016
KENILWORTH,INC,237979.86,2017
KENILWORTH,INC,227171.06,2018
KENILWORTH,INC,259821.33,2019
KENILWORTH,INC,247175.34,2020
KENILWORTH,INC,326442.66,2021
KENILWORTH,INC,385647.6,2022
KENILWORTH,INC,391799.56,2023
KENILWORTH,INC,418858.94,2024
KENILWORTH,INC,446786.33,2025
KENNEY,INC,27828.38,2012
KENNEY,INC,30581.02,2013
KENNEY,INC,31077.47,2014
KENNEY,INC,33434.69,2015
KENNEY,INC,33044.04,2016
KENNEY,INC,30871.96,2017
KENNEY,INC,29469.79,2018
KENNEY,INC,33705.02,2019
KENNEY,INC,32064.27,2020
KENNEY,INC,42347.05,2021
KENNEY,INC,48477.96,2022
KENNEY,INC,48468.03,2023
KENNEY,INC,51815.41,2024
KENNEY,INC,55270.48,2025
KEWANEE,INC,1102546.7,2012
KEWANEE,INC,1211622.72,2013
KEWANEE,INC,1231299.55,2014
KEWANEE,INC,1324668.53,2015
KEWANEE,INC,1309198.39,2016
KEWANEE,INC,1223138.45,2017
KEWANEE,INC,1167584.48,2018
KEWANEE,INC,1335395.04,2019
KEWANEE,INC,1270399.15,2020
KEWANEE,INC,1677807.03,2021
KEWANEE,INC,1939883.86,2022
KEWANEE,INC,1949487.04,2023
KEWANEE,INC,2084127.16,2024
KEWANEE,INC,2223090.7,2025
KEYESPORT,INC,35937.68,2012
KEYESPORT,INC,39492.7,2013
KEYESPORT,INC,40133.87,2014
KEYESPORT,INC,43177.4,2015
KEYESPORT,INC,42673.58,2016
KEYESPORT,INC,39868.28,2017
KEYESPORT,INC,38057.74,2018
KEYESPORT,INC,43527.11,2019
KEYESPORT,INC,41408.23,2020
KEYESPORT,INC,54687.55,2021
KEYESPORT,INC,63053.27,2022
KEYESPORT,INC,63274.18,2023
KEYESPORT,INC,67644.17,2024
KEYESPORT,INC,72154.33,2025
KILBOURNE,INC,25779.13,2012
KILBOURNE,INC,28329.81,2013
KILBOURNE,INC,28790.09,2014
KILBOURNE,INC,30973.21,2015
KILBOURNE,INC,30611.36,2016
KILBOURNE,INC,28598.92,2017
KILBOURNE,INC,27300.3,2018
KILBOURNE,INC,31224.47,2019
KILBOURNE,INC,29704.86,2020
KILBOURNE,INC,39231.01,2021
KILBOURNE,INC,42543.35,2022
KILBOURNE,INC,41299.55,2023
KILBOURNE,INC,44151.87,2024
KILBOURNE,INC,47096.03,2025
KILDEER,INC,338720.09,2012
KILDEER,INC,372229.64,2013
KILDEER,INC,378274.5,2014
KILDEER,INC,406959.44,2015
KILDEER,INC,402206.85,2016
KILDEER,INC,375767.37,2017
KILDEER,INC,358700.5,2018
KILDEER,INC,410254.69,2019
KILDEER,INC,390286.79,2020
KILDEER,INC,515448.92,2021
KILDEER,INC,621368.83,2022
KILDEER,INC,637568.08,2023
KILDEER,INC,681601.33,2024
KILDEER,INC,727049.25,2025
KINCAID,INC,128470.71,2012
KINCAID,INC,141180.5,2013
KINCAID,INC,143473.38,2014
KINCAID,INC,154353.21,2015
KINCAID,INC,152550.73,2016
KINCAID,INC,142522.81,2017
KINCAID,INC,136049.54,2018
KINCAID,INC,155602.71,2019
KINCAID,INC,148029.13,2020
KINCAID,INC,195500.98,2021
KINCAID,INC,214918.06,2022
KINCAID,INC,210237.72,2023
KINCAID,INC,224757.64,2024
KINCAID,INC,239743.16,2025
KINDERHOOK,INC,18438.71,2012
KINDERHOOK,INC,20262.31,2013
KINDERHOOK,INC,20591.08,2014
KINDERHOOK,INC,22152.6,2015
KINDERHOOK,INC,21893.86,2016
KINDERHOOK,INC,20454.96,2017
KINDERHOOK,INC,19526.05,2018
KINDERHOOK,INC,22332.02,2019
KINDERHOOK,INC,21244.9,2020
KINDERHOOK,INC,28057.98,2021
KINDERHOOK,INC,30372.54,2022
KINDERHOOK,INC,29454.61,2023
KINDERHOOK,INC,31488.88,2024
KINDERHOOK,INC,33588.02,2025
KINGSTON,INC,99361.98,2012
KINGSTON,INC,109192.43,2013
KINGSTON,INC,110965.97,2014
KINGSTON,INC,119380.02,2015
KINGSTON,INC,117985.68,2016
KINGSTON,INC,110229.78,2017
KINGSTON,INC,105223.56,2018
KINGSTON,INC,120346.84,2019
KINGSTON,INC,114489.4,2020
KINGSTON,INC,151205.33,2021
KINGSTON,INC,172844.8,2022
KINGSTON,INC,172678.16,2023
KINGSTON,INC,184604.05,2024
KINGSTON,INC,196912.57,2025
KINGSTON MINES,INC,25779.13,2012
KINGSTON MINES,INC,28329.81,2013
KINGSTON MINES,INC,28790.09,2014
KINGSTON MINES,INC,30973.21,2015
KINGSTON MINES,INC,30611.36,2016
KINGSTON MINES,INC,28598.92,2017
KINGSTON MINES,INC,27300.3,2018
KINGSTON MINES,INC,31224.47,2019
KINGSTON MINES,INC,29704.86,2020
KINGSTON MINES,INC,39231.01,2021
KINGSTON MINES,INC,42645.72,2022
KINGSTON MINES,INC,41455.31,2023
KINGSTON MINES,INC,44318.4,2024
KINGSTON MINES,INC,47273.65,2025
KINMUNDY,INC,67948.81,2012
KINMUNDY,INC,74671.16,2013
KINMUNDY,INC,75883.85,2014
KINMUNDY,INC,81637.81,2015
KINMUNDY,INC,80684.39,2016
KINMUNDY,INC,75380.59,2017
KINMUNDY,INC,71957.11,2018
KINMUNDY,INC,82299.3,2019
KINMUNDY,INC,78293.92,2020
KINMUNDY,INC,103402.23,2021
KINMUNDY,INC,115669.83,2022
KINMUNDY,INC,114236.17,2023
KINMUNDY,INC,122125.83,2024
KINMUNDY,INC,130268.01,2025
KINSMAN,INC,8451.03,2012
KINSMAN,INC,9287.18,2013
KINSMAN,INC,9438.03,2014
KINSMAN,INC,10153.39,2015
KINSMAN,INC,10035.11,2016
KINSMAN,INC,9375.2,2017
KINSMAN,INC,8949.34,2018
KINSMAN,INC,10235.75,2019
KINSMAN,INC,9737.83,2020
KINSMAN,INC,12860.67,2021
KINSMAN,INC,14266.39,2022
KINSMAN,INC,14025.43,2023
KINSMAN,INC,14994.09,2024
KINSMAN,INC,15995.07,2025
KIRKLAND,INC,148873.19,2012
KIRKLAND,INC,163600.94,2013
KIRKLAND,INC,166257.62,2014
KIRKLAND,INC,178865.22,2015
KIRKLAND,INC,176776.2,2016
KIRKLAND,INC,165155.9,2017
KIRKLAND,INC,157654.78,2018
KIRKLAND,INC,180313.47,2019
KIRKLAND,INC,171537.17,2020
KIRKLAND,INC,226547.9,2021
KIRKLAND,INC,257935.39,2022
KIRKLAND,INC,257146.22,2023
KIRKLAND,INC,274905.87,2024
KIRKLAND,INC,293236.41,2025
KIRKWOOD,INC,60949.03,2012
KIRKWOOD,INC,66978.77,2013
KIRKWOOD,INC,68066.47,2014
KIRKWOOD,INC,73227.67,2015
KIRKWOOD,INC,72372.88,2016
KIRKWOOD,INC,67615.69,2017
KIRKWOOD,INC,64544.41,2018
KIRKWOOD,INC,73820.99,2019
KIRKWOOD,INC,70227.83,2020
KIRKWOOD,INC,92749.41,2021
KIRKWOOD,INC,105854.24,2022
KIRKWOOD,INC,105663.96,2023
KIRKWOOD,INC,112961.58,2024
KIRKWOOD,INC,120494.08,2025
KNOX COUNTY GOVERNMENT,INC,779619.17,2012
KNOX COUNTY GOVERNMENT,INC,856747.44,2013
KNOX COUNTY GOVERNMENT,INC,870660.97,2014
KNOX COUNTY GOVERNMENT,INC,936683.08,2015
KNOX COUNTY GOVERNMENT,INC,925744.15,2016
KNOX COUNTY GOVERNMENT,INC,864890.18,2017
KNOX COUNTY GOVERNMENT,INC,825607.87,2018
KNOX COUNTY GOVERNMENT,INC,944267.79,2019
KNOX COUNTY GOVERNMENT,INC,898308.91,2020
KNOX COUNTY GOVERNMENT,INC,1186390.1,2021
KNOX COUNTY GOVERNMENT,INC,1397599.12,2022
KNOX COUNTY GOVERNMENT,INC,1417892.45,2023
KNOX COUNTY GOVERNMENT,INC,1515818.3,2024
KNOX COUNTY GOVERNMENT,INC,1616890.13,2025
KNOXVILLE,INC,248491.49,2012
KNOXVILLE,INC,273075.04,2013
KNOXVILLE,INC,277509.78,2014
KNOXVILLE,INC,298552.65,2015
KNOXVILLE,INC,295065.96,2016
KNOXVILLE,INC,275670.08,2017
KNOXVILLE,INC,263149.32,2018
KNOXVILLE,INC,300970.45,2019
KNOXVILLE,INC,286321.68,2020
KNOXVILLE,INC,378142.96,2021
KNOXVILLE,INC,445580.69,2022
KNOXVILLE,INC,452110.48,2023
KNOXVILLE,INC,483335.22,2024
KNOXVILLE,INC,515562.71,2025
LA HARPE,INC,105423.16,2012
LA HARPE,INC,115852.54,2013
LA HARPE,INC,117733.91,2014
LA HARPE,INC,126662.35,2015
LA HARPE,INC,125183.06,2016
LA HARPE,INC,116954.05,2017
LA HARPE,INC,111641.91,2018
LA HARPE,INC,127687.61,2019
LA HARPE,INC,121472.68,2020
LA HARPE,INC,160428.08,2021
LA HARPE,INC,183327.45,2022
LA HARPE,INC,183119.34,2023
LA HARPE,INC,195766.37,2024
LA HARPE,INC,208819.69,2025
LA PRAIRIE,INC,4011.93,2012
LA PRAIRIE,INC,4408.88,2013
LA PRAIRIE,INC,4480.49,2014
LA PRAIRIE,INC,4820.24,2015
LA PRAIRIE,INC,4764.3,2016
LA PRAIRIE,INC,4450.88,2017
LA PRAIRIE,INC,4248.64,2018
LA PRAIRIE,INC,4859.23,2019
LA PRAIRIE,INC,4622.6,2020
LA PRAIRIE,INC,6105.03,2021
LA PRAIRIE,INC,6698.37,2022
LA PRAIRIE,INC,6545.47,2023
LA PRAIRIE,INC,6997.52,2024
LA PRAIRIE,INC,7463.92,2025
LA ROSE,INC,12292.11,2012
LA ROSE,INC,13508.32,2013
LA ROSE,INC,13727.78,2014
LA ROSE,INC,14768.45,2015
LA ROSE,INC,14595.92,2016
LA ROSE,INC,13636.71,2017
LA ROSE,INC,13017.26,2018
LA ROSE,INC,14888.49,2019
LA ROSE,INC,14164.1,2020
LA ROSE,INC,18706.43,2021
LA ROSE,INC,17381.25,2022
LA ROSE,INC,15273.42,2023
LA ROSE,INC,16328.28,2024
LA ROSE,INC,17416.89,2025
LA SALLE,INC,820252.22,2012
LA SALLE,INC,901400.11,2013
LA SALLE,INC,916038.59,2014
LA SALLE,INC,985501.16,2015
LA SALLE,INC,973992.11,2016
LA SALLE,INC,909967.17,2017
LA SALLE,INC,868637.37,2018
LA SALLE,INC,993481.96,2019
LA SALLE,INC,945127.46,2020
LA SALLE,INC,1248223.04,2021
LA SALLE,INC,1471446.95,2022
LA SALLE,INC,1493323.08,2023
LA SALLE,INC,1596458.5,2024
LA SALLE,INC,1702906.44,2025
LA SALLE COUNTY GOVERNMENT,INC,2738186.03,2012
LA SALLE COUNTY GOVERNMENT,INC,3009077.18,2013
LA SALLE COUNTY GOVERNMENT,INC,3057944.52,2014
LA SALLE COUNTY GOVERNMENT,INC,3289825.66,2015
LA SALLE COUNTY GOVERNMENT,INC,3251405.63,2016
LA SALLE COUNTY GOVERNMENT,INC,3037674.74,2017
LA SALLE COUNTY GOVERNMENT,INC,2899706.58,2018
LA SALLE COUNTY GOVERNMENT,INC,3316465.49,2019
LA SALLE COUNTY GOVERNMENT,INC,3155047.44,2020
LA SALLE COUNTY GOVERNMENT,INC,4166848.44,2021
LA SALLE COUNTY GOVERNMENT,INC,4739644.33,2022
LA SALLE COUNTY GOVERNMENT,INC,4722778.54,2023
LA SALLE COUNTY GOVERNMENT,INC,5048954.25,2024
LA SALLE COUNTY GOVERNMENT,INC,5385605.37,2025
LACON,INC,165348.1,2012
LACON,INC,181705.93,2013
LACON,INC,184656.7,2014
LACON,INC,198659.29,2015
LACON,INC,196339.37,2016
LACON,INC,183432.62,2017
LACON,INC,175101.79,2018
LACON,INC,200267.78,2019
LACON,INC,190520.17,2020
LACON,INC,251618.6,2021
LACON,INC,291131.56,2022
LACON,INC,292681.04,2023
LACON,INC,312894.86,2024
LACON,INC,333757.59,2025
LADD,INC,110544.59,2012
LADD,INC,121481.48,2013
LADD,INC,123454.67,2014
LADD,INC,132815.54,2015
LADD,INC,131264.5,2016
LADD,INC,122635.72,2017
LADD,INC,117065.78,2018
LADD,INC,133891.17,2019
LADD,INC,127374.39,2020
LADD,INC,168222.44,2021
LADD,INC,195401.74,2022
LADD,INC,196835.28,2023
LADD,INC,210429.58,2024
LADD,INC,224460.05,2025
LAFAYETTE,INC,19035.63,2012
LAFAYETTE,INC,20919.08,2013
LAFAYETTE,INC,21258.93,2014
LAFAYETTE,INC,22871.07,2015
LAFAYETTE,INC,22603.9,2016
LAFAYETTE,INC,21117.74,2017
LAFAYETTE,INC,20158.9,2018
LAFAYETTE,INC,23056.1,2019
LAFAYETTE,INC,21933.87,2020
LAFAYETTE,INC,28967.87,2021
LAFAYETTE,INC,27759.78,2022
LAFAYETTE,INC,24935.86,2023
LAFAYETTE,INC,26658.06,2024
LAFAYETTE,INC,28435.67,2025
LAGRANGE,INC,1327392.62,2012
LAGRANGE,INC,1458713.38,2013
LAGRANGE,INC,1482403.16,2014
LAGRANGE,INC,1594812.07,2015
LAGRANGE,INC,1576187.56,2016
LAGRANGE,INC,1472576.43,2017
LAGRANGE,INC,1405693.49,2018
LAGRANGE,INC,1607725.99,2019
LAGRANGE,INC,1529475.42,2020
LAGRANGE,INC,2019967.2,2021
LAGRANGE,INC,2464653.35,2022
LAGRANGE,INC,2543573.11,2023
LAGRANGE,INC,2719243.4,2024
LAGRANGE,INC,2900556.14,2025
LAGRANGE PARK,INC,1159143.18,2012
LAGRANGE PARK,INC,1273818.29,2013
LAGRANGE PARK,INC,1294505.05,2014
LAGRANGE PARK,INC,1392665.95,2015
LAGRANGE PARK,INC,1376401.9,2016
LAGRANGE PARK,INC,1285923.96,2017
LAGRANGE PARK,INC,1227518.67,2018
LAGRANGE PARK,INC,1403942.95,2019
LAGRANGE PARK,INC,1335610.55,2020
LAGRANGE PARK,INC,1763931.21,2021
LAGRANGE PARK,INC,2072637.28,2022
LAGRANGE PARK,INC,2100034.81,2023
LAGRANGE PARK,INC,2245072.39,2024
LAGRANGE PARK,INC,2394767.34,2025
LAKE BARRINGTON,INC,424509.61,2012
LAKE BARRINGTON,INC,466506.7,2013
LAKE BARRINGTON,INC,474082.77,2014
LAKE BARRINGTON,INC,510032.27,2015
LAKE BARRINGTON,INC,504075.61,2016
LAKE BARRINGTON,INC,470940.46,2017
LAKE BARRINGTON,INC,449550.38,2018
LAKE BARRINGTON,INC,514161.92,2019
LAKE BARRINGTON,INC,489136.64,2020
LAKE BARRINGTON,INC,645999.25,2021
LAKE BARRINGTON,INC,775966.47,2022
LAKE BARRINGTON,INC,794819.07,2023
LAKE BARRINGTON,INC,849712.71,2024
LAKE BARRINGTON,INC,906368.01,2025
LAKE BLUFF,INC,488446.52,2012
LAKE BLUFF,INC,536768.97,2013
LAKE BLUFF,INC,545486.14,2014
LAKE BLUFF,INC,586850.06,2015
LAKE BLUFF,INC,579996.22,2016
LAKE BLUFF,INC,541870.35,2017
LAKE BLUFF,INC,517259.08,2018
LAKE BLUFF,INC,591602.11,2019
LAKE BLUFF,INC,562808,2020
LAKE BLUFF,INC,743296.45,2021
LAKE BLUFF,INC,867012.05,2022
LAKE BLUFF,INC,875235.64,2023
LAKE BLUFF,INC,935683.24,2024
LAKE BLUFF,INC,998071.13,2025
LAKE COUNTY GOVERNMENT,INC,7044146.8,2012
LAKE COUNTY GOVERNMENT,INC,7741030.3,2013
LAKE COUNTY GOVERNMENT,INC,7866557.77,2014
LAKE COUNTY GOVERNMENT,INC,8462350.25,2015
LAKE COUNTY GOVERNMENT,INC,8363524.07,2016
LAKE COUNTY GOVERNMENT,INC,7813747.11,2017
LAKE COUNTY GOVERNMENT,INC,7456510.44,2018
LAKE COUNTY GOVERNMENT,INC,8492620.63,2019
